"id_filial";"descricao_filial";"pedido_nulo";"total";"status_6";"status_8";"carrinho"
"43090178-57cc-4ec8-a0b9-b87011522751";Supermercado Camiño Arari;12;12;0;0;12
"4348bd5d-209c-4141-88be-b653864b2d1e";Eletro Mateus Olho D'água;1142;1447;236;8;1142
"43546457-98e3-41ce-853d-b53c6cbb8c8c";Eletro Mateus Angelim;496;612;82;11;495
"43aea084-bd27-42e7-87e8-931fc2405bc4";Boteco Gelado Marabá (Mix - Cidade Nova);1319;2316;804;68;1319
"43b9badb-f527-4ed6-8dd0-ceba5d049dcc";Eletro Mateus Conceição do Araguaia;57;73;3;2;57
"4460f245-0640-49e1-b17d-15cce7bf62d6";Eletro Mateus São Félix Pioneiro;54;68;8;0;54
"45c02ce8-2c0f-492c-8c8a-866200cf0b82";Supermercado Camiño Maranhão Novo;34;34;0;0;34
"46862664-49ac-485c-9770-7b0aba264de4";Padaria Express;1;1;0;0;1
"46879989-d394-47eb-b940-088974615f0b";Eletro São Mateus;563;662;54;21;560
"46dbd30f-726d-437c-9310-d3c19d3f3c84";Eletro Mateus Paragominas;255;298;17;10;255
"48239ef3-7351-403d-addb-b3385e7f5886";Supermercado Mateus Anil;93;93;0;0;93
"4920509f-f4b1-40d1-871d-3be98a987a84";Supermercado Camiño São Félix;21;21;0;0;21
"4925c571-1392-446d-934e-be746b9c367e";Supermercado Camiño Tutóia;45;45;0;0;45
"493ae47c-e9ef-4973-8f59-77be7a3b3b6e";Eletro Mateus Bacanga;882;1043;114;7;881
"49478352-f28d-4bc8-a786-efd3cb324876";Mix Chapadinha;765;936;111;5;765
"4a9a79c0-a77e-4a8b-a588-4b76494da7ef";Supermercado Camiño Conceição do Araguaia;34;34;0;0;34
"4ab7d7bd-4c62-42e3-9c88-268bc1a6d92e";Boteco Gelado Teixeira de Freitas;143;239;74;14;143
"4af1f80f-ecfa-4ef3-919a-1ff43c72cbf2";Supermercado Mateus Tailândia;90;90;0;0;90
"4b0b6d42-af14-4280-b3db-61aaed314b75";Eletro Mateus Supermercado Marabá;64;73;8;0;64
"4b687563-6f97-4e08-b4bb-d4dfd90a1f1d";Mix Mateus Altamira;140;140;0;0;140
"4c42cc21-3197-47e7-8516-e5688f10e263";Supermercado Mateus Barra do Corda;59;59;0;0;59
"4d0346cd-00dd-4905-afba-960e15809a9a";Eletro Mateus Forquilha;751;928;130;12;750
"4d163578-0003-4af3-9bd0-c68988f5bec4";Eletro Mateus Tucumã;85;116;22;3;85
"4d86e65b-6791-483f-822a-759b4be5e926";Eletro Mateus Santa Inês;460;580;77;10;460
"4defe634-437d-4b0d-b6bb-cbecdb614270";Mix Mateus Coqueiro;167;167;0;0;167
"4dfc7e1a-6054-4175-a01e-033ef3a3c08f";Eletro Supermercado Cohab;517;628;69;7;517
"4e5c7c03-cc0e-413a-adca-254045a4fda1";Eletro Mateus Sitio Saramanta;417;506;59;10;417
"4f9591db-ebfd-4ed7-8c6b-d68d05fefffa";Eletro Mateus Codó - São Sebastião;374;439;39;4;374
"5098dcf1-ee89-465e-ac14-3603ddd80edf";Boteco Gelado Cohatrac Ⅳ;2949;5411;2141;81;2946
"51337904-6196-4f84-a838-c130e3b1344e";Mix Mateus Pedreira;30580;44161;12298;274;30568
"5239f233-8845-4924-8b5f-118c4ab92059";Eletro Mateus Cohatrac;594;735;105;10;593
"52df27a1-8caa-46a5-bdbe-d930cffdb565";Mix Mateus Jardim Tropical;307;307;0;1;306
"5321d18c-ae50-4ae3-98d1-7cd3995b753d";Supermercado Camiño Zé Doca;47;47;0;0;47
"53a1d24d-308c-46cb-aef0-2f4c82c53d93";Eletro Mateus Rondon;68;83;10;0;68
"55b5e42f-055d-4a03-83fb-a9edf3b9eba3";Mix Itapecuru Mirim;175;216;17;12;173
"55cdff2a-f662-4784-b799-91167b114455";Boteco Gelado Renato Parente;1;1;0;0;1
"56492d22-10d0-4e91-83a5-f067168f1181";Mix Mateus Serraria;2707;3296;462;63;2707
"56627aa4-ab8d-4d10-8911-3eff33114be8";Mix Mateus Caxias;148;148;0;0;148
"56d94831-e2e7-4278-85c2-150c10e662f6";Mix Mais Juazeiro;72;73;1;0;72
"576d3f71-c39c-4142-a256-03f74fc84424";Eletro Mateus Timon;974;1115;62;13;974
